atlas_tool,source_requirement,ui_field_or_output,code_function,source_type,delphi_statement_id,ccrf_element_or_domain,mapping_strength,implementation_role,evidence_detected,evidence_alias_hits,evidence_line_or_count,notes
Standardized Cohort Builder,Case definition,case_definition,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S1-S8; S41-S44,Diagnosis source / case-definition fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,8,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Symptoms,symptoms,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S1-S8,Core symptom and history fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,7,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Phenotype distribution,phenotype_distribution,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S1-S8,Phenotype distribution / body-region fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,10,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Pain and tenderness,pain_tenderness,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S1-S8; S45-S52,Pain score / symptom severity fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,5,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Bruising and heaviness,bruising_heaviness,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S1-S8,Symptom signs / bruising-heaviness fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,2,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Stage and severity,stage_severity,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S1-S8; S45-S52,Stage / severity / phenotype grade fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,4,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Anthropometry and body composition,anthropometry,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S9-S18; S41-S44,"Height, weight, BMI, waist, hip, limb measures",Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,10,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Oedema/fluid and lymphatic overlap,fluid_overlap,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S9-S18; S19-S28,Fluid/lymphatic assessment and overlap fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,9,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Differential diagnosis,differential_diagnosis,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S19-S28; S41-S44,Differential review fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,8,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
Standardized Cohort Builder,Comorbidities and overlap conditions,comorbidities,collectPhenotypeForm; buildPhenotypeProfile; buildCaseReadiness; buildStudyReadinessScores,Delphi+CCRF,S19-S28; S45-S52,Comorbidity / overlap-condition fields,Direct,"Implemented as a visible field, data element, or differential-matrix concept",yes,5,LipoScope.html:11998; LipoScope.html:12225; LipoScope.html:12104; LipoScope.html:12116,Generated by script from implemented HTML/JavaScript identifiers plus predefined Delphi/CCRF source-requirement dictionary.
